vendor_normalized,sum_effective_value
TRANSCONTINENTAL PLM,35468562.74
MICROSOFT CANADA,26978772.88
SAS INSTITUTE,25683828.32
CANADIAN CORPS OF COMMISSIONAIRES,23521635.17
TRANSCONTINENTAL,23161989.69
ORACLE CANADA,21044406.82
ESRI,13407324.81
TERAMACH TECHNOLOGIES,13125668.93
NISHA TECHONOLOGIES,11754840.01
NORTHERN MICRO,9390900.44
COSSETTE COMMUNICATIONS,7395851.05
TOTEM OFFISOURCE,6053715.25
STONEWORKS TECHNOLOGIES,5827474.40
IBM CANADA,5695172.25
CORADIX TECHNOLOGY CONSULTING,5449071.23
HEWLETT PACKARD,4246109.31
CHROME DATA SOLUTIONS,4082577.00
HYPERTEC,3948940.75
BANCTEC CANADA,3803103.03
SI SYSTEMS,3703542.00
BELL CANADA,3594372.55
SOCIACTAC GAMMA,3320647.91
XEROX,3224636.41
THE AIM GROUP,3193447.80
TELECOM COMPUTER SERVICES,3153470.88
VMWARE,3031777.08
BEYOND 20 20,2680299.83
4 OFFICE AUTOMATION,2582621.61
LIONBRIDGE,2539900.69
ECLIPSYS SOLUTIONS,2494675.62
FUJITSU,2389554.50
SAP,2319531.41
DELOITTE AND TOUCHE,2246787.49
OPENTEXT,2032207.74
FOX TRANSLATIONS,1951348.50
SOFTCHOICE,1945727.21
SYMANTEC,1760677.31
SUNGARD EMS,1717581.55
MISHKUMI TECHNOLOGIES,1714781.78
CANON,1705794.85
ADVANCED CHIPPEWA TECHNOLOGIES,1648427.20
GLOBAL UPHOLSTERY,1639944.05
TEKNION,1615024.09
ALS LABORATORY GROUP,1565882.81
EXCEL HUMAN RESOURCES,1540099.57
QMR,1493083.98
CDW CANADA,1416926.25
GARTNER,1389776.96
DALIAN ENTERPRISES,1376015.18
LES TRADUCTIONS TESSIER SCC,1349455.00
LIFELINE MOBILE,1348001.05
CONEXSYS,1341043.45
TRANSPOLAR TECHNOLOGY,1302787.87
FACTIVA,1266883.68
ALIKA INTERNET TECHNOLOGIES OTTAWA,1254480.80
SYBASE CANADA,1248029.23
NIKSUN,1205259.15
CMI INTERLANGUES,1171000.00
LATITUDE GEOGRAPHICS GROUP VICTORIA BC,1170617.74
GRAND TOY,1147903.53
FACTIVA A DOW JONES REUTERS COMPANY,1145336.18
PRINTERS PLUS,1125987.26
GENESIS INTEGRATION,1125170.16
ABI ADVANCED BUSINESS INTERIORS OTTAWA,1054166.91
KODAK CANADA,1011366.94
TERANET TORONTO ON,983100.00
CROWNHILL PACKAGING,975950.30
HYLAND SOFTWARE,975855.55
RIDEAU RECOGNITION SOLUTIONS,965478.88
TRADUCTIONS SACGUIN ADAMS,937775.00
STAPLES ADVANTAGE DIVISION OF CORPORATE EXP,923192.89
LES TRADUCTIONS TESSIER SCC GATINEAU QC,917596.75
ORANGUTECH,904000.00
TEKSYSTEMS CANADA,877623.16
MACKENZIE G BIRRELL,872345.00
MANIFEST COMMUNICATION,866834.30
THE MASHA KRUPP TRANSLATION GROUP,862303.00
TECHSOLCOM IT GROUP R3D CONSEIL,841416.00
INSA,840609.00
BMC SOFTWARE CANADA,834281.85
PITNEY BOWES,816389.58
ALIKA INTERNET TECHNOLOGIES,800799.36
