vendor_normalized,sum_effective_value
VMWARE,10553205.90
SI SYSTEMS,1596896.23
IDS SYSTEMS CONSULTANTS,1216270.19
TOSHIBA CLIENT SOLUTIONS CAN,480729.64
RANDSTAD,345455.69
NEW PRINTING,331524.87
OPENCONCEPT CONSULTING,324420.18
TELECOM COMPUTER SERVICES,242196.97
PROJECT X PRODUCTIONS,239557.47
HILTON LAC LEAMY,223508.91
LORD ELGIN HOTEL,165196.13
ST JOSEPH MEDIA,135955.95
FREEBALANCE,128045.76
SOCIETE DES CASINO DU QUEBEC RESTO CASINO HILTON OPERATING AS HILTON LAC LEAMY,127056.34
GCSTRATEGIES,124321.97
TURRIS COMMUNICATIONS,123333.09
BEARCOM CANADA,111322.47
ROGERS,110822.18
GRAVURE CHOQUET,101700.00
ONX ENTERPRISE SOLUTIONS,95640.31
ASTRAL MEDIA AFFICHAGE SEC,86891.87
ADWARE PROMOTION,82230.10
HEWLETT PACKARD,77534.88
9334 5296 QUEBEC OPERATING AS PRIME IMPRESSION,77160.17
BESPOKE AUDIO VISUAL,71032.78
KAREN MACKAY,65376.15
417 BUS LINE,59906.98
CALIAN,58896.50
INTU DESIGN,58628.05
9334 5296 QUEBEC O A PRIME IMPRESSION,57870.00
FCA CANADA,57805.72
CNW GROUP,56500.00
LAMONTAGNE GERALD,53248.96
DUOSON MULTIMEDIA,51875.41
IRON MOUNTAIN,50762.95
ADVANCED CHIPPEWA TECHNOLOGIES,49476.66
APPTION,47573.00
MITSUBISHI MOTOR SALES OF CAN,44930.16
DELTA BEAUSEJOUR,44317.83
VOILA QUEBEC,43805.48
PATTISON OUTDOOR ADVERTISING,40705.43
POSTMEDIA NETWORK ASSIGNEE MELTWATER NEWS CANADA,40205.00
ADIRONDACK IM AIM GROUP JV,39149.42
CTM MEDIA GROUP,36291.85
THE DRAFTING CLINIC CANADA,35159.38
INFOMART DIVISION OF MELTWATER,34578.00
METROLAND MEDIA GROUP,33082.58
DELTA QUEBEC CITY,30189.87
MELTWATER NEWS CANADA,29436.50
CDW CANADA,28261.21
MEDIAS TRANSCONTINENTAL,27494.03
MICROSOFT CANADA,26629.43
DELTA OTTAWA CITY CENTRE,26608.79
GROUPE ALITHYA,24834.60
CATHERINE AGUILLON,24500.00
FURLOW FINANCIAL,24012.50
ALLANTE AIRPORT TRANSPORTATION,23122.51
OTTAWA CITIZEN A DIVISION OF,22818.77
GROUPE IMAGI COMMINICATION LE,22661.01
3627730 CANADA OPERATING AS FREEMAN AUDIO VISUAL,22267.97
BLACKBERRY,20563.74
HOTEL CLARENDON,20150.55
SWA OTTAWA WESTIN OTTAWA,19961.68
NORTHERN NEWS SERVICES,19668.60
NUNATEXT,18608.63
ITEX,17935.08
SZM PROMOTIONS,17125.33
NOVA NETWORKS,17011.02
SOFTCHOICE,16531.90
BOUCHER VON ASSOCIATES,16243.75
NOVI SYSTEMS,15984.00
DRAFTING CLINIC CANADA THE,15945.71
SAMSON ET ASSOCIES,15262.07
ATELIER DILATHAN,15176.71
NORTHERN MICRO,15066.52
DILITRUST CANADA,14736.66
OPTIMA,14407.50
COURTYARD MARRIOT OTTAWA,14185.12
GROUPE IMAGI COMMUNICATION LE,14133.30
BRADDA PRINTING SERVICES,13207.27
CITY OF OTTAWA,13177.49
ABOVE BEYOND,12220.95
HYPERTEC,11558.43
GLOBAL UPHOLSTERY,11322.60
GONTRAN BLAIS,10915.80
MANPOWER SERVICES CANADA,10900.10
DLS TECHNOLOGY,10899.49
LE CONCORDE,10710.59
UP HERE PUBLISHING,10395.00
SOCIETE ATTACTIONS TOURS QC,9640.66
PITNEY BOWES,9291.31
LES TOURS DU VIEUX QUEBEC 1989,8048.25
GLOBELITE TRAVEL MARKETING,7203.75
H K COMMUNICATIONS,5085.00
CORPORATE RENAISSANCE GROUP,2942.69
DYNAMIC PERSONNEL CONSULTANTS,2791.83
