vendor_normalized,sum_effective_value
SOFTCHOICE,1955493.09
APPLIED ELECTONICS,1539083.32
TEKNION,1533956.93
CEV,1000355.74
BELL CANADA,861622.42
CSI LEASING CANADA,844340.90
AKUFEN ATELIER CREATIF,603891.79
TERAGO NETWORKS,576659.92
DEPARTEMENT STUDIO CREATIF,435145.96
CREOS EXPERTS CONSEILS,425133.08
ROHDESCHWARZ CANADA,372759.88
SONOTECHNIQUE PJL,371589.28
COULEUR POINT TV,360150.00
TRINIMBUS TECHNOLOGIES,337806.09
CENTRE FRANCO ONTARIEN DE RESSOURCES PEDAGOGIQUES,280000.00
STUDIO CASA RARA,278320.75
ROHDE SCHWARZ CANADA,275457.67
JAM3,273195.00
ACCESS INFORMATION PROTECTED,269317.83
CHRISTIE LITES SALES,242938.62
MICROSOFT CANADA,238025.64
FACEBOOK,234767.37
ATEMPO,226662.07
TRANSQUEBEC AUDIOVISUEL,218260.00
NORTH PLAINS SYSTEMS,206955.81
AFFINITY BRIDGE CONSULTING,191625.00
ORACLE CANADA,180854.65
INTERGALACTIC AGENCY,173374.25
MINDSTREAM TC PCB,167295.15
KANVA ARCHITECTURE,166713.75
RESONANCE TJL,161883.76
SOLOTECH,155746.90
RICHTER,146540.76
ARRI CANADA,145637.78
F2 TECHNOLOGIES,130336.99
RISQ,129922.19
2587517 ONTARIO,127652.94
HELIX MANAGEMENT CONSULTING SERVICES,127300.00
DAINTY PRODUCTIONS,126570.70
SPB PSYCHOLOGIE ORGANISATIONNELLE,122142.00
APPLE CANADA,115973.01
DIGITAL FILM TECHNOLOGY,115158.24
NORTHERN MICRO,114147.16
IBM CANADA,113894.89
DATROX COMPUTER TECHNOLOGIES,113587.80
AVALON CORPORATE SOLUTIONS,108903.71
LENVOL DES LANGUES,108323.38
CLEAR K,104000.00
SOFTSIM TECHNOLOGIES,100800.00
GROUPE LA GUERILLA,99439.25
IMAGES ET TECHNOLOGIE,98301.54
10703559 CANADA,97139.24
MAXSYS GSI CONSULTING,96579.00
KRAKOWIAK ALEKSANDRA,95840.00
ECHAFAUDS PLUS LAVAL,95387.80
PARADIS RENAUD,92487.50
LES PRODUCTIONS ROMEO ET FILS,88964.96
CMDN PRODUCTIONS,84360.00
LES INDUSTRIES NORDESCO,83235.53
GLOBAL MECHANIC MEDIA,82481.25
ESPACES TEMPS MONTREAL,80000.00
OPUS 59 FILMS,79559.80
AATOAA,77608.13
CANDELA COLLECTIVE,76344.99
ASG TECHNOLOGIES GROUP,75831.16
DELL COMPUTER,72940.63
LIQUID CINEMA,67800.00
SECURMAX SYSTEMES INTEGRES DE SECU,66697.91
PING PONG PING,64845.91
LAVERY DE BILLY,63912.77
WESTWORLD COMPUTERS,63380.42
MONIQUE LEBLANC CREATIONS,63270.00
SERVICES DE GESTION MG,61109.22
SILVERBACK PRODUCTIONS,59600.00
SOUND CHICK SFX,55483.00
COSSETTE COMMUNICATIONS,55025.00
CISION CANADA,54176.18
RETHINK COMMUNICATIONS,53245.00
FINALE EDITWORKS,53148.38
DUSSAULT DOMINIQUE,50589.00
CAMERA LUCIDA PRODUCTIONS,50312.00
PROJECTECH ENTERTAINMENT DIVERTISSE,50145.68
TESSIER MARIE JOSEE,50000.00
CHALLENGE FOR CHANGE,50000.00
SHI CANADA,49943.92
STONEWORKS TECHNOLOGIES,49639.60
NORMAL STUDIO,48974.75
TELUS CANADA,48910.27
NUA OFFICE,47130.18
ANDRE LADOUCEUR,46564.88
CFS CONSULTANTS EN SECURITE,46564.88
RANDSTAD,46110.43
ENSEMBLE INTERACTIF,46100.00
