vendor_normalized,sum_effective_value
THE RIGHT DOOR CONSULTING,262442.50
NORTHERN MICRO,240954.39
FIRST AIR,202904.39
AUGUSTE SOLUTIONS AND ASSOCIATES,179854.00
PIRURVIK CENTRE,122494.28
NVISION INSIGHT GROUP,80987.22
XEROX,78138.44
PRESIDIA SECURITY CONSULTING,77800.00
STRATOS,69350.50
ERNST YOUNG,65285.75
POLAR OUTFITTING,60150.70
AIR NUNAVUT,54667.69
ADVANCED BUSINESS INTERIORS,53765.55
PMC PROJECT MANAGEMENT CENTRE,45289.50
GENERAL MOTORS,37383.23
INSIGHTS LEARNING,34589.40
ATIIGO MEDIA,26796.07
ILINNIAPAA SKILLS DEVELOPMENT CENTER,24937.50
DAVID SWAYZE ASSOCIATES,24860.00
INNIRVIK SUPPORT SERVICES,23157.76
QMR,22092.20
TITTAQ OFFICE SUPPLIES,21182.84
2202691 ONTARIO,19153.50
SUMMIT AIR CHARTERS,17764.74
507040 NWT,17741.00
CHRISTINE CROSSMAN CONSULTING SERVICES,17593.75
UNAALIK AVIATION 2004,16252.03
8231800 CANADA,15120.00
ASOKAN BUSINESS INTERIORS,13416.00
WILMAN JENNIFER,11211.25
PERFORMANCE MANAGEMENT CONSULTANTS,11070.00
3158004 CANADA,10800.00
MAMITSIVIK CONSULTING,6976.20
APPLIED ELECTONICS,5391.50
