vendor_normalized,sum_effective_value
ALGONQUIN COLLEGE,61796.98
PRESERVICA,61676.72
AON REED STENHOUSE,61640.00
AB USINAGE 3022331,60529.85
RETIREMENT PLANNING INSTITUTE,60375.00
SINE QUA NON,60160.33
ENVIRONICS RESEARCH GROUP LMT,59332.91
WEBTROPOLIS,58971.02
IMDS CANADA,57764.94
DER GRAPHICS AND CUSTOM FILING,57279.42
SOLOTECH,56320.50
SHRED IT,56271.57
GILMORE PRINTING SERVICES,54976.16
CONTRACT COMMUNITY,54850.20
CENTRE DE TRADUCTION CARON,54613.12
OLYMPE BACON,53600.00
CTE SOLUTIONS CERTIFIED TECHNICAL EDUCATION,52103.80
OFFICEWORK SOFTWARE,52083.93
EVOLUTION PROFESSIONAL DESIGN CONSULTANTS,51804.85
LE GROUPE CONSEIL BRONSON CONSULTING GROUP,50652.00
ISABELLE GAUL,50000.00
DISCOVERYGARDEN,49961.82
BIOBUBBLE,49904.00
SUMMA STRATEGIES CANADA,49833.00
Y2 PSYCHOLOGUES CONSULTANTS,49230.83
3763455 CANADA,49122.24
LES TRADUCTIONS TESSIER MEGALEXIS COMMUNICATIONS,48979.36
LES TRADUCTIONS TESSIERS SCC,48979.36
HAWORTH,48821.93
INTERSOL GROUP,48510.00
FLEMING COMMUNICATIONS,48287.62
EVOLVE GOVERNMENT CONSULTING,48145.73
TITUS INTERNATIONAL ORANGUTECH,47880.00
STUDIO ECONOMIK,47870.53
QUADBRIDGE,47583.82
NEO INSIGHT,47460.00
A R BUSINESS MACHINES,47020.19
AHEARN SOPER,46505.11
ALBION SCREEN PRINTING,46198.44
