vendor_normalized,sum_effective_value
ADIRONDACK INFORMATION MANAGEMENT AMITA ARTEMP PERSONNEL SERVICES THE AIM GROUP IN JOINT VENTURE,848793.14
SOLUTIONS MOERAE MSI,760749.90
ALTIS HUMAN RESOURCES,480473.22
NISHA TECHONOLOGIES,345646.84
IDS SYSTEMS,329595.00
THE AIM GROUP,268514.36
EXCEL HUMAN RESOURCES,264804.56
GOLDBLATT PARTNERS,191274.33
MICROSOFT CANADA,165287.10
FMC PROFESSIONALS,160791.27
THE VCAN GROUP,123138.23
PHOENIX STRATEGIC PERSPECTIVES,114759.46
CORBINPARTNERS,114204.66
TERESA SCASSA,105090.00
ALTRUISTIC INFORMATICS CONSULTING,103960.00
LIONBRIDGE,99892.00
STOCKWOODS,92250.00
ANDREA ROSEN ASSOCIATES,89467.75
SRA STAFFING,88987.50
GARTNER,78803.87
SAMSON AND ASSOCIATES,77628.86
ITEX,75173.62
RSOLUTIONS,61951.49
PUBLIC INTEREST ADVOCACY CENTRE,58760.00
SHARP ELECTRONICS,57691.64
GEVC INTERACTIVE,55109.16
PRIVPRO,52756.88
APPLE STORE,49055.24
EDELMAN PUBLIC RELATIONS WORLDWIDE CANADA,47706.74
CONEXSYS,47374.03
HYPERACTIVE PRODUCTIONS,45200.00
STEENBURGH AND ASSOCIATES,42840.00
ANNE E BERTRAND,42500.00
ACTION PERSONNEL OF OTTAWA HULL,38685.33
SOFTCHOICE,35797.61
NEWS CANADA FIFTH STORY,34374.60
APOSTROPHE,33333.33
AFFINITY PRODUCTIONS GROUP,33333.33
EPSILON CONSULTING MANAGEMENT GROUP,32576.25
GILAD ROSNER,32500.00
NETRUNNER,32188.10
DAVID BERMAN COMMUNICATIONS,31212.52
ADVANCED BUSINESS INTERIORS,27170.61
ETICO,24995.57
MNP,24995.57
NNOVATION,24973.00
ERIE CONSULTING GROUP,24973.00
ALLEENS WINDOW WALL COVERINGS,24905.31
STIFF SENTENCES,24860.00
176461 CANADA MARSHALL DAIGNEAULT ASSOC,24860.00
THE RIGHT DOOR CONSULTING SOLUTIONS,24806.25
CONFERENCE BOARD OF CANADA,24750.00
DELOITTE AND TOUCHE,24719.63
CLIFF HANGER COMMUNICATIONS,24718.75
ACART COMMUNICATIONS,24577.50
CBCI TELECOM CANADA,24398.02
MCLOUGHLIN MEDIA,24182.00
NEO INSIGHT,23730.00
LSE ENTERPRISE,23625.00
PHIRELIGHT SECURITY SOLUTIONS,23322.49
DEMENAGEMENT SLBL MOVING,22995.00
VACHON IMPORTS CONSULTING,21701.53
ANNE BOYS,20340.00
9276777 CANADA,19950.00
TAB PRODUCTS OF CANADA,19706.64
KORN FERRY HAY GROUP,19210.00
ADDARIO LAW GROUP,18891.88
SCIENCE METRIX,18352.31
CARBON BLACK BIT9,17815.30
TRM TECHNOLOGIES,17673.20
THE PRINTING HOUSE,17246.25
LOWE MARTIN COMPANY,17246.25
EAVES CONSULTING,17246.23
SETC TRAINING,16950.00
PETRA MOLNAR,16950.00
IDENTOS,16950.00
DEVAMO,16950.00
ST JOSEPH PRINT GROUP,16950.00
SOUTHSIDE COMMUNICATIONS,16904.80
CANADIAN INTERNET POLICY PUBLIC INTEREST CLINIC CIPPIC UOTTAWA,16850.00
VIRUSTOTAL,16517.31
OPTIV CANADA FEDERAL,16176.15
PALADIN DESIGN,15175.90
TAMIR ISRAEL,15000.00
TEKNION,14739.00
ANTHONY MACAULEY ASSOCIATES,14640.95
BERLITZ CANADA,14032.75
CHRISTOPHER PARSONS,13560.00
ANN GOLDSMITH,12882.00
PRO MOVING SERVICES,12513.24
ACCURATE DESIGN AND COMMUNICATION,12486.50
STARLING ACCESS SERVICES,12445.54
MARSWORKS,12430.00
WILD CARD ADVERTISING,12342.75
ADVANCED CHIPPEWA TECHNOLOGIES,12342.51
BART VAN DER SLOOT,12087.90
FOGLER RUBINOFF,11497.50
IPSS,11444.63
CDW CANADA,11342.86
MAKWA RESOURCING,11187.00
CBCI TELECOM,10775.95
RYAN SMITH CREATIVE,10633.30
MENTORA,10299.46
TELECOM COMPUTER SERVICES,10195.99
ROPES GRAY,10000.00
WORLD PRIVACY FORUM,10000.00
TENILLE BROWN,10000.00
CANADIAN GROUP EMERGENCY TRAINING,9884.68
WILLIAM DANIEL BULLER,9772.88
MARK SLUTSKY,9772.88
PR SERVICES,7993.24
COGNIVA,7760.82
LEXISNEXIS CANADA,6795.02
QUEST SOFTWARE,6740.01
COED COMMUNICATIONS,6215.00
WEST GRAY CREATIVE,6000.00
MICRO SYSTEMATION CANADA,5605.03
MANAGING INFORMATION SYSTEMS 3,5605.03
