vendor_normalized,sum_effective_value
MISHKUMI TECHNOLOGIES,431051.05
EXCEL HUMAN RESOURCES,244632.32
ALTIS HUMAN RESOURCES,169237.60
THE AIM GROUP,163528.94
CBCI TELECOMCOM,128138.87
SOCIETE GAMMA,125000.01
FOREST COMMUNICATIONS,118372.16
N12 CONSULTING,107530.80
SHARED SERVICES CANADA,105854.26
SOFTCHOICE,104214.07
ZYCOM,103848.22
KNOWLEDGE CIRCLE LEARNING SERVICES,85008.00
TELECOM COMPUTER SERVICES,79839.94
LEADERS CONSULTING IN GOVERNANCE AND LEADERSHIP,79099.44
TEKNION,73965.44
CATALYST RESEARCH AND COMMUNICATIONS,72548.75
RAYMOND CHABOT GRANT THORNTON CONSULTING,67630.50
LANA WELLS,49875.00
RAYMOND CHABOT THORNTON CONSULTING,45087.00
ADVANCED BUSINESS INTERIORS,43819.54
LEGER MARKETING,43567.15
ANTHONY MACAULEY ASSOCIATES CONSULTANTS DEVELOPERS,42719.94
COPEM,42036.00
CFL ENTERPRISES,40680.00
OTUS STRATEGIC FINANCIAL BUSINESS PLANNING GROUP,39690.00
TOYOTA CANADA,38668.81
LLAMA COMMUNICATIONS,38449.25
EVALUATION PERSONNEL SELECTION INTERNATIONAL,37987.74
XEROX,37684.11
JA MEDIA SERVICES,31640.00
LORD ELGIN HOTEL,28233.66
ERIE CONSULTING GROUP,25000.12
MARIE PAULE KASSIS,25000.00
JEANNOT TRUDEL,25000.00
LES TRADUCTIONS TESSIER SCC,25000.00
COPEM CONSULTING,24871.30
PARKER P CONSULTING,24860.00
BRECKENHILL,24549.25
JANIQUE SIMARD OUELLETTE,24238.50
CORCAN,24090.00
UNIVERSITY OF WESTERN ONTARIO,23801.42
CNW GROUP,22600.00
MARTHA KING,22600.00
MANIFEST COMMUNICATIONS,20905.00
KABOOM COMMUNICATION DESIGN,20000.00
TRADUCTIONS ZENITH TRANSLATIONS,20000.00
MICHAEL DAVID LANGILL,19975.00
CHRISTINE CROSSMAN CONSULTING,19492.50
COLLECTIVE STAFFING AND WRITING SERVICES,18984.00
PETER CAMERON AND ASSOCIATES,16950.00
MEDIA Q,16950.00
HYPERACTIVE PRODUCTIONS,16429.07
SAS INSTITUTE,16352.89
OLIVUS,14125.00
KORN FERRY HAY GROUP,12995.00
FMC PROFESSIONALS,12072.38
ALINE BARNOTI,12000.00
CHRISTIANE RYAN,12000.00
NATHALIE LECLAIRE,12000.00
DAVIDSON VIOLETTE ASSOCIATES NEWFOUND RECRUITING IN JOINT VENTURE,11434.26
SURVEYMONKEY EUROPE C O 916710,10842.35
CARON TRAINING CENTRE,10465.00
FREEMAN AUDIO VISUAL,10213.94
CKG TRAINING AND CONSULTING,10000.00
DR SCOTT UZELMAN,10000.00
9101 4472 QUEBEC LES TRADUCTIONS ST FRANCOIS,10000.00
DOMINIQUE LEMIEUX POINT DORGUE COACHING,66.00
