vendor_normalized,sum_effective_value
DONNA CONA,89849742.55
TPG TECHNOLOGY CONSULTANTS,17140012.16
ADGA GROUP,14730593.21
ORACLE CANADA,12350301.78
NORTHERN MICRO,9047753.20
WAMPUM RECORDS,8578309.96
FUJITSU,8051954.77
DALIAN ENTERPRISES,7892494.50
SI SYSTEMS,7736847.36
ORR JOHN M,7711476.69
KPMG,7567455.58
CASSELS BROCK LAWYERS,7543784.35
CORADIX TECHNOLOGY CONSULTING,7507329.40
STENOTRAN SERVICES,7422142.39
ADRM TECHNOLOGY CONSULTING,7210345.63
BGC ENGINEERING,7175984.54
ASAP REPORTING SERVICES,6838846.58
NEW PAGE ADR,6271175.22
ORBIS RISK CONSULTING,6133399.74
PUBLIC HISTORY,5886780.53
CANADIAN DEVELOPMENT CONSULTANTS,5656014.85
DELOITTE AND TOUCHE,5580929.22
IBM CANADA,5548594.23
IT NET CONSULTANTS,5341973.18
ROBERTSON GEOCONSULTANTS,4998429.11
CANADIAN CORPS OF COMMISSIONAIRES,4882184.88
GARTNER,4713631.90
VACHON LAW,4669254.31
ROBERGE YVON,4669254.31
WAMPUM RECORDS AND CANADIAN,4543054.11
JOAN HOLMES ASSOC,4376780.29
NITAWAGAN DATA MANAGEMENT AND INTERNATIONAL REPORTING JOINT VENTURE,4304761.90
TIREE,4054713.01
PRICEWATERHOUSE COOPERS,3917176.17
BERRY CHERYL MUSTARD,3891045.26
EARNST YOUNG,3824704.59
STRATOS,3816381.93
RAYMOND CHABOT GRANT THORNTON,3728701.34
SHEILA DENYSIUK LEGAL PROFESSIONAL,3692129.97
ARCADIS CANADA,3560005.22
THG THE HISTORY GROUP,3483126.22
ESRI,3444043.46
SRK CONSULTING CANADA,3434522.46
MARSDEN WESLEY,3344087.16
STANTEC,3293365.69
THE VCAN GROUP,3283294.20
CASSELS BROCK BLACKWELL,3231861.22
ERNST YOUNG,3080270.16
SMITH RESEARCH,3074547.61
BLUE COLLAR SILVICULTURE,2921878.71
ALTIS HUMAN RESOURCES,2918060.22
KONICA MINOLTA BUSINESS EQUIPMENT,2881978.07
QMR,2739765.60
WOODARD MILTON,2723731.68
APPLIED ELECTONICS,2698305.53
COLLIERS PROJECT LEADERS,2634788.22
ST LOUIS HUGUETTE,2634221.55
TEAM BI,2603107.22
VIEWPOINT MEDICAL,2581609.30
DANIEL SHAPIRO LEGAL PROFESSIONAL,2545714.29
SERBU KELLY,2531831.79
GEORGE CARON,2531338.77
BENNETT DAVID,2520301.85
NISHA TECHONOLOGIES,2516888.01
ONCIDIUM AND BOWCURVE,2509774.73
ISH CONSULTING,2508585.00
RESOLUTION HOUSE,2492390.85
BEAUCHESNE NORMAND,2492390.85
ADR SYNERGY,2492390.85
HENHEFFER MARIA G,2492390.85
BAXTER EVELYN,2492390.85
KABIR RAVINDRA PROFESSIONAL,2492390.85
CGI,2417842.29
SUSAN E ROSS LAW,2378494.29
DUNLOP KAYE ELIZABETH,2378494.29
KNOX CATHERINE M,2378494.29
EXCEL HUMAN RESOURCES,2364353.20
SNOWSHOE KAREN L,2334627.15
ADRIAN WRIGHT LAW PROFESSIONAL,2334627.15
CHERYL MACDONALD ADJUDICATION,2334627.15
REILLY PAMELA,2334627.15
RESOLVE ADR,2334627.15
HILL JOHN C,2334627.15
GAVIN WOOD LAW,2334627.15
BALL KEVIN,2334627.15
BELLOC PINDER LESLIE,2334627.15
CHERNIACK CHERNIACK LAW,2334627.15
ANNE WALLACE LEGAL PROFESSIONAL,2334627.15
VG BEISEL PROFESSIONAL,2334627.15
PAULAH DAUNS BARRISTER SOLICITOR,2334627.15
JOLLIFFE THOMAS,2334627.15
MCKALL BETH M,2334627.15
GROUNDS RICHARD,2334627.15
WILLIAM J CAMPBELL LAW OFFICE,2334627.15
YOUNG LENNARD,2334627.15
HAKASANA HOLDINGS,2334627.15
HILLSON JOHN D JACK,2334627.15
MCCALLUM MYRNA,2334627.15
SCOTT RITA,2334627.15
M GWENDOLYNNE TAYLOR LAW,2334627.15
YATES BARBARA,2334627.15
ZUCK CATHERINE,2334627.15
RASMUSSEN RASMUSSEN CHAROWSKY,2334627.15
BOLTON ANNE,2334627.15
MERCREDI JOAN,2334627.15
DIRK SILVERSIDES,2334627.15
CAROL ANN HART LAW,2334627.15
HUGH MCCALL LAW,2334627.15
MCISAAC KATHLEEN B,2334627.15
MCDOUGALL GAULEY,2334627.15
MOSHER TERI,2334627.15
LARRY GILBERT BARRISTER,2334627.15
CAROL ROBERTS LAW,2269776.40
OCONNOR PATRICIA,2254787.12
CALIAN,2241747.23
GOLDER ASSOCIATES,2198371.77
RAINSHADOW COMMUNICATIONS,2170754.83
CDCI RESEARCH,2153392.39
MAXSYS STAFFING AND CONSULTING,2073567.16
OPENFRAME TECHNOLOGIES,2016003.19
SRK CONSULTING ENGINEERS SCIEN,1965819.21
CLOUTIER PAUL,1921114.30
SNC LAVALIN,1919336.15
NITAWAGAN DATA MANAGEMENT AND,1915951.67
THE RIGHT DOOR CONSULTING,1914467.63
BDO CANADA,1900551.23
NEEGAN BURNSIDE,1769855.09
LINK ADVANTAGE RESEARCH,1735175.12
MORAN MAYO,1714286.06
DILLON CONSULTING,1690028.50
THE AIM GROUP,1680830.17
COSSETTE COMMUNICATIONS,1664313.18
ADIRONDACK TECHNOLOGIES FURNITURE,1643773.10
CDCI WAMPUM JOINT VENTURE,1637607.85
SAP,1518126.28
XEROX,1515300.79
PACIFIC GEOTECH SYSTEMS,1506355.98
TURTLE TECHNOLOGIES,1505963.47
TURTLES TECHNOLOGIES,1500446.95
AMEC FOSTER WHEELER ENVIRONMENT,1500000.00
BRONSON CONSULTING GROUP,1487607.48
BKH SOLUTIONS CONSULTING,1463785.88
LUCID RESEARCH,1460792.81
HDP GROUP,1460493.90
BELL CANADA,1455393.78
CDW CANADA,1450315.32
ARTEMP PERSONNEL SERVICES,1429035.04
VON GERNET DR ALEXANDER,1416554.96
AMEC EARTH ENVIRONMENTAL,1403507.49
ASOKAN BUSINESS INTERIORS,1381781.60
TETRA TECH,1380874.42
SASKATCHEWAN INDIAN INSTITUTE OF,1290803.65
GOVERNMENT OF NUNAVUT,1274420.70
THEODORE BINNEMA RESEARCH,1270328.33
CONFLICT RESOLUTION SERVICES CRS,1230123.30
GETZLER JOSHUA,1215614.40
LAURIER RESEARCH GROUP,1204893.09
CM GROUP,1200096.78
FOX WISE TECHNOLOGIES,1198855.06
DUTCHAK SID,1198838.35
PATERSON DAVID,1170628.09
BOSSY JOSSY PRODUTIONS,1168374.28
EBSCO CANADA,1151078.51
SOROKA DIANE,1096190.48
CIRCARE CONSULTANTS,1094679.92
MICROSOFT CANADA,1082490.37
HAWORTH C O ASOKAN,1054683.41
HISTORICE CONSULTANTS,1042402.79
FOXWISE TECHNOLOGIES,1040276.65
DIVESTCO,1038166.02
OPENTEXT,1024270.61
STANNERS ROXANE,1019788.35
SYSTEMATIX SOLUTIONS,1018583.11
DCJV4,1009841.12
WOOD CANADA,1009249.95
BLUMETRIC ENVIRONMENTAL,996710.99
AUGUSTE SOLUTIONS AND ASSOCIATES,964612.65
COLLINS BARROW OTTAWA MANAGEMENT,950000.00
IRON MOUNTAIN,940340.80
TEAM DC JRI,939221.29
DEVEAU GAGNE LEFEBVRE TREMBLAY,938067.55
ARVAY FINLAY,929845.28
NAVIGANT ECONOMICS,920160.00
OUTCOME MERIT A JOINT VENTURE,918679.35
RV ANDERSON ASSOCIATES,886575.82
CLARK ADRIAN,875128.76
ACCESS CORPORATE TECHNOLOGIES,863447.40
COMPREHENSIVE MANAGEMENT GROUP,860319.01
SAMSON ASSOCIATES,848968.60
BMB DATA CONSULTING SERVICES,846009.00
FRANZ ENVIRONMENTAL,833813.96
AECOM,830382.00
EBA ENGINEERING CONSULTANTS,828422.65
ADVANCED CHIPPEWA TECHNOLOGIES,813436.46
BELL BROWNE MOLNAR DELICATE,793849.89
AIR TINDI,782384.69
HALIFAX GROUP,779260.50
NORAMTEC CONSULTING,770151.50
FISCAL REALITIES ECONOMISTS,757059.61
3546764 CANADA,750001.06
