vendor_normalized,sum_effective_value
SIERRA SYSTEMS GROUP,1856228.43
MODIS CANADA,728938.57
ABI ADVANCED BUSINESS INTERIORS,388187.33
CBCI TELECOM CANADA,382742.79
IT NET CONSULTANTS,306561.32
FOXRED CONSULTING,304955.58
ZYCOM,271395.20
MICROSOFT CANADA,269899.59
COSSETTE COMMUNICATIONS,254841.00
MGIS,228156.92
ALTIS HUMAN RESOURCES,220297.40
ADRM TECHNOLOGY CONSULTING,159713.68
NISHA TECHONOLOGIES,159598.95
RANDSTAD,156878.40
SAS INSTITUTE,154755.58
NORTHERN MICRO,148272.24
EXCEL HUMAN RESOURCES,132012.44
GROUPE CONSEIL BAASTEL,124185.11
EKOS RESEARCH ASSOCIATES,118924.18
IBISKA TELECOM,118024.88
GARTNER,117628.05
ACCURATE DESIGN COMMUNICATION,115654.36
OPENPLUS VURTUR COMMUNICATIONS GRO,110565.00
SEEUNITY,108470.15
TEKNION,105185.73
ORACLE CANADA,103912.91
3005526 CANADA,99376.50
SOCIETE GAMMA,99144.93
CISION CANADA,94849.77
CDW CANADA,93858.47
ACCESS 2 NETWORKS,89192.25
7792395 CANADA,83238.75
DELL COMPUTER,79433.55
TOSHIBA CLIENT SOLUTIONS CANADA,77917.25
ABCE LANGUAGE SCHOOL,76629.00
NEWS CANADA,75032.00
VMWARE,73100.66
KATHARINE M HUNTER ZAWORSKI,65000.00
QUINTET CONSULTING,60532.50
PANASONIC,55983.06
QMR,55932.54
THINKING BIG INFORMATION,55217.07
ADIRONDACK IN JOINT VENTURE WITH TH,53389.74
1019837 ONTARIO,51686.41
MICRO FOCUS SOFTWARE CANADA,50551.11
THE RETIREMENT PLANNING INSTITUTE,46087.38
FLEXEDGE TECHNOLOGIES,45789.48
KONICA MINOLTA BUSINESS SOLUTIONS,43004.73
CSA GROUP,42373.31
LYNDA NAVEDA CONSULTING,41810.00
DYNAMIC PERSONNEL CONSULTANTS,39984.35
APPLIED ELECTONICS,39388.77
LNRS DATA SERVICES,38829.48
IRVING MITCHELL KALICHMAN,37982.00
IRON MOUNTAIN CANADA OPERATIONS,37606.55
SPIRIT STAFFING,35242.83
CRESTRON CANADA,32177.74
LEXISNEXIS CANADA,31492.80
CONVERSART CONSULTING,29295.00
PRINTERS PLUS,26820.52
MARILYN THERIAULT,25549.30
ADVITEK,25333.19
AON CANADA,24998.00
COLM BRANNIGAN MEDIATION,24937.50
INTERPLAY CREATIVE MEDIA,24895.31
BDO CANADA,24892.09
SYSTEMSCOPE,24860.00
RHEA,24834.60
LONGO ASSOCIATES,24570.00
DONNELLEY FINANCIAL SOLUTIONS,24536.00
CHARRON HUMAN RESOURCES,24408.00
ALTRUISTIC INFORMATICS CONSULTING,23728.76
FLIGHTGLOBAL,23709.78
CONTRACT COMMUNITY,23684.21
TJ NADEAU CONSULTING,23413.60
MINDWIRE SYSTEMS,23205.00
8340854 CANADA,22995.00
CLOSEREACH,22830.94
FMC PROFESSIONALS,22600.00
EATON INDUSTRIES CANADA COMPANY,22500.04
SIMPLEX GRINNELL,22351.14
LMB LES SYSTEMES ET SERVICES,22332.00
MENTAL HEALTH COMMISSION OF CANADA,22050.00
AZUR HUMAN RESOURCES,21636.72
HELP SYSTEMS,21242.01
THE ASSOCIATES GROUP HUMAN RESOURCE,21008.40
GROUPE INTERSOL,21000.00
FESTIVAL PROMOTIONS,19997.25
TOTEM OFFISOURCE,18726.93
MAXSYS STAFFING AND CONSULTING,17332.47
SITEIMPROVE,16371.29
BURKE CADER MEDIA STRATEGIES,16296.01
DRUIDE INFORMATIQUE,15820.57
JUNO RISK SOLUTIONS,15750.00
HOLMES AND BRAKEL BUSINESS,15239.43
SOFTCHOICE,14961.13
VEEAM,14054.54
RICOH,13612.26
HILTON LAC LEAMY,12532.72
SOUND VENTURE PRODUCTIONS OTTAWA,12495.00
CPCS TRANSCOM,12454.67
SIGN LANGUAGE INTERPRETING,12076.88
MOORE CANADA,12016.28
MARIO GODBOUT DESIGN,11497.50
COGNILORE,11210.06
CANADIAN INSTITUTE FOR CONFLICT,10848.00
FAST FORWARD FRENCH,10602.00
BANG THE TABLE CANADA,10500.00
THE EMOTIONAL INTELLIGENCE TRAINING,10473.75
CARAHSOFT TECHNOLOGY,10150.36
GALBRAITH COMMUNICATIONS,9753.03
GSI INTERNATIONAL CONSULTING GROUP,8381.10
VEEAM SOFTWARE,7612.63
SDL INTERNATIONAL CANADA,6274.48
CNW GROUP,5424.00
INSIGHT SOFTWARE CANADA,5097.97
UNIVERSITY OF SASKATCHEWAN,4875.00
MISHKUMI TECHNOLOGIES,4392.78
ACCESSICLE,4139.10
SYSTEME DE CONTROLE SOFT DB,3538.16
CELLULE DESIGN SOUCHE CREATIVE,2531.75
SENSUS COMMUNICATION SOLUTIONS,208.85
