vendor_normalized,sum_effective_value
DONNA CONA,400493.50
ZYCOM,380214.13
MODIS CANADA,325479.56
ORACLE CANADA,307457.77
ALTIS HUMAN RESOURCES,280544.43
TRADUCTIONS TESSIER,188843.54
MICROSOFT CANADA,186587.87
EXCEL HUMAN RESOURCES,176738.33
HILL KNOWLTON CANADA WPP GROUP CANADA COMMUNICATIONS,170199.26
STRIVE,157742.10
SOFTCHOICE,135536.86
ALEXA TRANSLATIONS,129411.47
ANTHONY MACAULEY ASSOCIATES VICTORIA,121815.09
SOLUTIONS MOERAE,117520.00
NISHA TECHONOLOGIES,108914.24
HANNAH MOFFAT KELLY,73167.50
SAMSON ASSOCIES CPA CONSULTATION,72327.06
PRIMEXX VENTURES,69438.50
TRM TECHNOLOGIES,60384.38
BELL CANADA,59859.39
ACCESSDATA GROUP,55768.50
GOSS GILROY,52771.00
TECHWIND,52206.00
INFO TECH RESEARCH GROUP,50737.00
LUMINA IT,49855.60
INTEGRA NETWORKS,48816.00
ASOKAN BUSINESS INTERIORS,47761.49
WEBDRIVE CANADA,47570.65
GONTRAN BLAIS DESIGN,47050.50
TAG HR THE ASSOCIATES GROUP,41481.03
XEROX,41009.06
GARTNER,40830.67
OSLER HOSKIN HARCOURT,39660.00
SALISBURY CONSULTING,37209.32
ALDERSON GILL ASSOCIATES,35218.33
HDP GROUP,35011.17
LEXISNEXIS CANADA,34059.33
MKG ASSOCIATES,33900.00
MEDIUMCUBE,28401.42
SOFTSIM TECHNOLOGIES,26948.34
ERGO INDUSTRIAL SEATING SYSTEMS,24950.40
SDL INTERNATIONAL CANADA,24916.50
CONVERSART,24908.00
LEO PISCES SERVICES GROUP,24814.80
LEVERAGE TECHNOLOGY RESOURCES,24789.38
GLOBAL UPHOLSTERY,24386.81
CISTEL TECHNOLOGY,23987.64
AHMED ADEKUNLE GARBA,23730.00
VISIBLETHREAD,23400.00
SYLVIE LAMOUREUX,22941.25
GROUPE AEQUITAS,22600.00
KABOOM COMMUNICATION DESIGN,22600.00
NORTHERN MICRO,22543.50
GRAND TOY OTTAWA,20930.53
PHL MONARCH CONNECTION,19797.60
DR AKWASI OWUSU BEMPAH,19398.16
SOLUTIA TELECOM,19396.26
SHARP ELECTRONICS,18961.62
INTERSOL GROUP,18334.25
THE AIM GROUP,18193.00
ROUTE1,17424.60
PUBLIC POLICY FORUM,16950.00
PRIVPRO,16503.65
BOPPRE BREANNA,16073.20
LAW OFFICE PEARL ELIADIS,15711.50
PARKES DEBRA,15255.00
AUTHENTIC VOICE TRAINING AND CONSULTING SERVICES,15255.00
ACCESSIBIL IT,15066.67
ECOLE DE LANGUES ABCE,14815.50
INCLUSIVE MEDIA AND DESIGN,14283.20
LAURENTIAN TECHNOLOGIES,14011.21
HOUSTON RECRUITING SERVICES,13970.25
SIGN LANGUAGE INTERPRETING ASSOCIATES OTTAWA,13695.60
NSW OMBUDSMAN,13485.00
STORMWIND,13182.00
GREY CASGRAIN,12995.00
CELESTE MCKAY CONSULTING,12497.63
REAUME LESLIE,12492.50
RHEA,12486.50
PETER HADWEN CONSULTING,12430.00
2713837 ONTARIO LR DISPUTE RESOLUTION,12204.00
DUO SECURITY,12177.35
IDS SYSTEMS CONSULTANTS,12006.25
MCRAE DONALD,11836.38
SINGER SAMUEL,11300.00
TBP ASSOCIATES,11300.00
DR KELLY STRUTHERS MONTFORD,10725.00
TOTEM OFFISOURCE,9612.94
ADSS 6175015 CANADA,8898.75
FLAHERTY MICHELLE 8417377 CANADA,8475.00
KORN FERRY HAY GROUP,8475.00
PLURALSIGHT,7702.17
ECLIPSYS SOLUTIONS,5485.02
BUCK NAOMI,3390.00
