vendor_normalized,sum_effective_value
FREEBALANCE,3703129.30
ORACLE CANADA,2604641.40
COFOMO,1094116.73
CANADIAN CORPS OF COMMISSIONAIRES,835079.14
GARTNER,661550.06
SOLOTECH,648963.46
TELUS CANADA,639908.52
MICROAGE,588658.86
ICI INFLUENCE COMMUNICATIONSINC,581893.49
BRIGDEN CATHERINE,570330.24
KABOOM COMMUNICATION DESIGN,537412.07
ENSEIGNES PATTISON SIGN GROUP,513097.51
CANADIAN ASSOCIATION OF DEFENCE AND SECURITY INDUSTRIES,494785.51
BELL CANADA,492287.49
DAVID GOLIATH COMMUNICATION MARKETING,470583.71
LE SAINT PUBLICITE ET DESIGN,465523.80
WORLD TRADE CENTRE MONTREAL,445354.31
NORTHERN MICRO,440595.33
PRICEWATERHOUSE COOPERS,439898.02
INNOVACOM MARKETING COMMUNICA82124 CANADA,425200.00
INNOVACOM MARKETING COMMUNICA 82124 CANADA,416967.27
ENGINE ROOM CREATIVE,393400.00
D4IS SOLUTIONS 4165047,392697.12
IPSG TECHNOLOGY IPSG,364975.00
HEWLETT PACKARD,335766.90
MICROSOFT CANADA,335698.63
KPMG,322567.50
XEROX,318090.15
SOFTCHOICE,313920.03
CONFERENCE BOARD OF CANADA,312000.00
PROCOM CONSULTANTS,307063.75
CEDROM SNI,281634.94
NISHA TECHONOLOGIES,272861.15
RAYMOND CHABOT GRANT THORNTON,232643.09
PENNI JAQUES,204025.58
DB COMPANIES OF CANADA,202948.11
GROUPE CONSEIL OSI,199001.25
MICROAGE LES SYSTEMES NWD MONTREAL,195223.86
DOLMEN PSYCHOLOGIE INDUS,186561.50
PRINTERS PLUS,185118.48
LORRAINE FRAPPIER,182308.50
ANDRE FILION ASSOCIES,178498.68
FORD MOTOR COMPANY,162663.99
STRATUS SEM,160177.50
GROOM ASSOCIES,155347.48
GRIS ORANGE CONSULTANT,154488.00
SUBARU CANADA,151698.86
ICI INFLUENCE COMMUNICATIONS,150734.23
INSTITUT STATISTIQUE DU QUEBEC,149462.82
REJEAN ROY,145000.00
TRADUCTION TESSIERLES,143246.25
ECLIPSYS SOLUTIONS,124024.25
CONGRUENCE COACH,123207.50
TRADUCTIONS TESSIER SCCLES,120000.00
LIONBRIDGE,115196.28
IMATICS,113249.93
DE MARTIGNY YVES,112819.69
CGI,108337.50
DELOITTE AND TOUCHE,106281.32
SOGEMAP,105661.94
IN TOUCH PUBLIC SECTOR GROUP IPSG,100000.00
FOREST COMMUNICATIONS,99995.65
LAROCHELLE GROUPE CONSEIL,94827.60
PERSONNEL ALTER EGO,93652.86
UNIVERSALIA MANAGEMENT GROUP,92803.22
INSUM SOLUTIONS,92162.86
CAPITAL INNOVATION,90000.00
MARKETWIRE,87259.52
SYSTEMATIX SOLUTIONS,86231.25
CBCI TELECOM,85290.36
COSSETTE COMMUNICATIONS,84191.59
ALPHADOC,84000.00
1019837 ONTARIO DYNAMICPERSONNEL CONSULTANTS,83021.40
MULTI RISK INTERNATIONAL,81959.07
PUROLATOR COURIER,81350.00
BEDARD RESSOURCES,80721.89
TOUT COM,80304.00
ETUDE ECONOMIQUE CONSEIL,78314.30
DUNBRADSTREET COMPANIES OF CANADA,75018.32
IC FORMATION,74312.25
CNW GROUP,71890.34
LAB5 DIGITAL MEDIA SPECIALISTSINC,71388.19
SAMSON ASSOCIES,70141.33
SOLOTECH INTERNATIONALSOLOTECH INTERNATIONAL,69976.36
NOXENT,65398.12
ADVISO CONSEIL,64500.00
RHDF 2000,62475.00
UNIVERSITE DU QUEBEC A TROIS RIVIERES,56601.17
TC TRANSCONTINENTAL,56096.30
NUMARA SOFTWARE,55489.37
ASSOCIATION DES PRODUCTEURS DE TOURBE DU QUEBEC,54694.00
ALTIS HUMAN RESOURCES,54640.78
MARKETWIRED,53797.00
ECOLE DE LANGUES DE LESTRIEOTTAWA,53484.00
PROCONTACT INFORMATIQUE,52381.23
TOYOTA CANADA,51330.79
GROUPE ACCES DIRECT QUEBEC,50301.57
IN TOUCH PUBLIC SECTOR GROUPIPSG,50000.00
7792395 CANADA LANNICK RECRUITMENT OTTAWA,49669.20
CANON,49585.71
EXACT AIR,47227.28
BPM GOVERNMENT IMIT CONSULTI,47225.00
WEBCONFORME,46609.77
TNS CANADIAN FACTS,46263.00
ALPHAMOSAIK,45990.00
DESJARDINS CONCEPTION GRAPHIQUE,44646.00
INSTITUT PLANIFICATION RETRAITE IPR,43469.10
CHRISTIANE BEAUPRE CONSULTATION,43345.58
IMAGIK DESIGN COMMUNICATION,42578.03
THE COMPUTER MEDIA PRODUCTS,42496.89
ECOLE DES SCIENCES DE LA GESTION,40425.00
ODGERS BERNDTSON CANADA MONT,39690.00
GLS RESEAUX,39675.00
TECHNOLOGIES CONSEILS EXPERTS,38193.75
ENVIRO ACCES,37500.00
CENTRE DE FORMATION CARON QC,37470.00
PUROLATOR,37246.25
SOURCE EVOLUTION,36961.32
TRAVAUX PUBLICS ET SERV GOUV,36960.00
UNIVERSITE DOTTAWA,36800.00
SAMSON ASSOCIES CPA CONSULTATION,36792.00
OPTIMUM RELATIONS PUBLIQUES,36750.00
JOLICOEUR ET ASSOCIES,36645.00
METAFORE,36025.50
INFORMATIQUE BLONDINX0016MONTPETIT,35586.60
BDO CANADA,35102.50
STRATEGIES A JOLICOEUR,34395.00
SOCIETE PIERRE BOUCHER,34265.87
UNIVERSITE DOTTAWA ECOLE SUPERIEURE DAFFAIRES PUBLIQUES ET INTERNATIONALES,34080.00
ECOLE DE LANGUES LA CITE,33656.00
2168 4907 QUEBEC ADVANIS JOLICOEUR,33150.77
METAFORESOLUTIONS TECHNOLOGIQUES DORVAL SEC,32369.40
FORMATION TERRA NOVA,31339.32
SOM RECHERCHES ET SONDAGES,31029.60
KELLY SERVICES CANADA,30712.12
TELECOM COMPUTER SERVICES,30379.27
SYMETRIX PROTECTION,30069.90
DRUIDE INFORMATIQUE,30054.01
CENTRE DE FORMATION CARON,29160.00
SUBARU DE LAVALADM AUTOMOBILES,28914.90
DEVELOPPEMENT PME CHAUDIERE APPALACHES,28627.73
VIDEOTRON,28550.00
SERVICES TELE RESSOURCES,28060.09
PHILIPS ELECTRONICS,28033.80
NETWRIX,27502.88
PEPIN SERGE,27137.22
DAVID LLEWELLYN,26791.14
GROUPE RESSOURCE SUR LINDUSTRIE MILITAIRE ET LA SECURITE GRIMS,26349.75
ARTOPEX PLUS,25884.66
PITNEY BOWES,25836.60
ALOGIENT,25725.00
NOVELL CANADA,25383.70
POLE DEXCELLENCE QUEBECOIS ENTRANSPORT TERRESTRE,25200.00
ANDRE LADOUCEUR,25000.00
CITOYEN OPTIMUM SEC,25000.00
RIDEAU SOLUTIONS DE RECONNAISSANCE,24994.92
ES TUNIS AND ASSOCIATES,24990.00
COUILLARD DR PHILIPPE,24950.00
ASSPRODUCTEURS TOURBE DU QC,24920.00
SOLARWINDS,24909.68
ADVANCED BUSINESS INTERIORS ABI,24892.09
FOUG CONSEILS,24863.34
FEDERATION DES PLASTIQUES ETALLIANCES COMPOSITES,24675.00
PROMPT,24500.00
QUEEN S SCHOOL OF BUSINESS,24500.00
DEV PME CHAUDIERE APPALACHES,24301.00
ARI FINANCIAL SERVICES,24290.00
CHART YOUR BIZ,24144.76
EQMBO ENTREPRISES CENTRE DAIDE TECHNIQUE ET TECHNOLOGIQUE,24000.00
ADVANIS JOLICOEUR,23972.29
AKILON TECHNOLOGIES,23914.80
GLOBAL KNOWLEDGE,23891.81
GROUPE AGECO,23887.50
TELEBEC,23672.19
SIE SOLUTIONS,23619.37
DAVIDX0016GOLIATH COMMUNICATION MARKETING,23554.55
SOLUTIONS DE RECONNAISSANCE RIDEAU,23537.12
LE GROUPE KWA OPTIMUM TALENT,23520.00
CIRANO CENTRE INTERUNIVERSITAIRE RECHERCHE EN ANALYSE DES ORGANISATIONS,22995.00
9320 4154 QUEBEC,22973.16
CASACOM,22575.00
CHRYSLER CANADA,22282.05
8709530 CANADA,22261.00
DYNAMICSU,22035.00
ST JACQUES VALLEE YOUNGX0016RUBICA,21667.02
LEGER MARKETING,21605.60
ENAP ECOLE NATL ADM PUBLIQUE,21500.00
TELE RESSOURCES,21282.58
4107811 CANADA AEROINSIGHT,21247.38
