vendor_normalized,sum_effective_value
THERMOFISHER SCIENTIFIC,2237997.55
LIFE TECHNOLOGIES,982916.47
DELL COMPUTER,908282.69
WATERS,898612.55
PERTEN INSTRUMENTS CANADA,477082.06
METTLER TOLEDO,472316.79
AGILENT,464581.85
CW BRABENDER INSTRUMENTS,371500.30
FISHER SCIENTIFIC COMPANY,291034.42
NEOGEN,279581.73
IMS LOGISTIC HOLDINGS,269797.50
DATA COMMUNICATIONS MANAGEMENT,254468.29
SOFTCHOICE,238955.43
TERVITA,209004.73
RAYMOND CHABOT GRANT THORNTON,186096.96
WYATT TECHNOLOGY,182561.00
IPSOS PARTNERSHIP,182207.88
LM ARCHITECTURAL GROUP,173674.33
CHOPIN TECHNOLOGIES,164114.67
BRUKER,150848.54
AB SCIEX,148457.29
INLAND AUDIO VISUAL,147706.79
SAS INSTITUTE,147500.85
COMPUGEN,144800.99
ABRAXIS,144727.63
MICROSOFT CANADA,137597.05
SEEDBURO EQUIPMENT COMPANY,128231.88
XEROX,125437.03
INTEGRA NETWORKS,123257.66
TA INSTRUMENTS WATERS,122737.47
FOSS NORTH AMERICA,121963.27
ITEX,119948.88
NISHA TECHONOLOGIES,108411.17
ARTOPEX,106672.50
GROTECH,96760.26
FELIX TECHNOLOGY,96150.60
IBM CANADA,90646.05
QIAGEN CANADA,88185.32
TAKARA BIO USA,80391.30
DARKTRACE,78843.75
BDO CANADA,78670.00
FCA CANADA,77398.79
RFP SOLUTIONS,76275.00
RUTHERFORD MCKAY ASSOCIATES,76028.40
UNIVERSITE DE SAINT BONIFACE,72674.90
ONX ENTERPRISE SOLUTIONS,67847.92
PRICEWATERHOUSE COOPERS,65090.34
ALLIANCE FRANCAISE DU MANITOBA,62617.17
PEAK SCIENTIFIC CANADA,62439.88
INTEGRATED DNA TECHNOLOGIES,62184.58
KISIK,57788.02
INFO TECH RESEARCH GROUP,56910.00
AUDI CONSULTING,56122.50
PROMOCOM MARKETING,55965.00
PHILIPS ELECTRONICS,55337.68
GLOBAL KNOWLEDGE,53749.50
WORKPLACE SAFETY PREVENTION,53081.25
COMPUCOM CANADA,48250.58
CANADIAN INTL GRAINS INSTITUTE,46500.00
G N JOHNSTON EQUIPMENT,45250.85
FACILITATED SOLUTIONS,45247.50
FORSYTHE,44908.33
UAS SERVICE,44385.45
SKALAR,43839.60
SAMSON ASSOCIES,43618.63
POSTAGE BY PHONE,42000.00
FORSYTHE INTERNATIONAL,41479.56
GIBRALTAR SOLUTIONS,41425.36
NORTHERN MICRO,40397.67
ASOKAN BUSINESS INTERIORS,38802.51
SERENA SOFTWARE,38464.59
AVI SPL CANADA,36957.13
CALIBRE CONTROL INTERNATIONAL,35518.34
TJ5 TECHNOLOGIES,33900.00
OLYMPUS CANADA,33838.12
ATS SCIENTIFIC,33208.34
GENOME QUEBEC,33205.20
NOREX,32650.63
BUHLER,32252.16
CITRIX,31433.93
MUZEEN BLYTHE,31430.70
TUCKER INDUSTRIES,30912.00
VIAVI SOLUTIONS CANADA,29491.00
VWR INTERNATIONAL,29414.37
VMWARE,27851.00
BSI GROUP CANADA,26494.76
ROMER LABS CANADA,26311.94
EPIC INFORMATION SOLUTIONS,25888.02
BIO RAD LABORATORIESCANADA,24992.01
DECISIVE TECHNOLOGIES,24908.52
POSTNOVA ANALYTICS,24729.17
CEGEP DE BAIE COMEAU,24165.99
FORMATOUR,23995.83
CHARRON HUMAN RESOURCES,23956.00
TMCO,23172.74
PERKINELMER HEALTH SCIENCES,22929.85
PROSCI CANADA,22598.63
INSIGHT SOFTWARE CANADA,22129.99
PHENOMENEX,21206.74
KEVIN LUND TECHNOLOGY SOLUTIONS,20743.49
LES ENTRETIENS DANIEL BOULAY,20657.18
PRIORITY RESTORATION SERVICES,20475.00
NITAM SOLUTIONS,20095.10
GNJOHNSTON EQUIPMENT,19471.21
ACKLANDS GRAINGER,18897.04
LINSTITUT DE DEVELOPPEMENT,18480.00
GARDAWORLD CASH SERVICES CANADA,18166.68
TEXTURE TECHNOLOGIES,18039.98
CARL ZEISS CANADA,17257.80
RAINDANCE TECHNOLOGIES,16683.75
TYCO INTEGRATED FIRE SECURITY,16620.45
ROMER LABS,15437.31
TORONTO RESEARCH CHEMICALS,15301.91
COENTREPRISE CITE CARON,15093.00
DB OFFICE WORKS,14962.50
TLS ENTERPRISES,14175.00
ENVIROSTAT,14122.39
IRON MOUNTAIN CANADA,14010.03
HYPERTEC,13623.75
BLACK MCDONALD,13597.50
VICAM A WATERS BUSINESS,13142.85
ANISHINABEG COMMUNICATIONS,12871.14
TRILOGY ANALYTICAL LABORATORY,12832.09
ESBE SCIENTIFIC INDUSTRIES,12810.83
R BIOPHARM,12553.48
CDW CANADA,12375.87
MG ELECTRICAL MECHANICAL,12128.39
XYGEN DIAGNOSTICS,11618.81
MELTWATER NEWS CANADA,11550.00
SASKATCHEWAN RESEARCH COUNCIL,11306.40
AINSWORTH,11272.28
PREMIER PRINTING,10973.56
DELTA SCIENTIFIC LABORATORY,10498.95
SPACESAVER SOLUTIONS,10495.20
SUPREMEX,10444.35
QLIKTECH,10422.72
TWITTER ONLINE ADS,10235.83
THE FORT GARRY,10169.70
COMPANY XYZ,10000.00
PITNEY BOWES,8670.75
BUREAU VERITAS CANADA 2019,5684.00
PLURALSIGHT,5074.07
GAUDANG HOLDINGS,3570.00
