vendor_normalized,sum_effective_value
NORTHERN MICRO,150749.43
NISHA TECHONOLOGIES,135107.58
CANADIAN CORPS OF COMMISSIONAIRES,122065.99
DELL COMPUTER,60233.00
LUMINA IT,50715.00
CLARK SOLUTIONS,46249.69
CANON,44161.00
UNIVERSITE SAINTE ANNE,30099.00
STEVEN C GAON,24973.00
CINDY CLEGG COMMUNICATIONS,24192.00
BURKE CADER MEDIA STRATEGIES,21357.00
GLOBAL UPHOLSTERY,21116.91
DMH INTERTRANSITION CONSULTING,19406.25
PSAV,18260.20
MICROTECH SUPPLY SERVICES,17149.00
ACRODEX,16330.00
QMR,14599.00
IMP GROUP,14147.00
ACL SERVICES,13125.00
HYPERTEC,12084.00
