vendor_normalized,sum_effective_value
ENTREPRISE DE COMMUNICATIONS TANK,15824044.33
COSSETTE COMMUNICATIONS,15119763.44
MAPLESOFT CONSULTING,9623789.05
COFOMO,7500735.96
EXCEL HUMAN RESOURCES,6301450.65
CIRQUE DU SOLEIL,5670000.00
BDO CANADA,5506512.62
IBISKA TELECOM,4723472.25
GILTSPUR EXHIBITS OF CANADA,4649564.86
WESTBURY NATIONAL SHOW SYSTEMS,4537127.41
SOFTCHOICE,4262241.46
NISHA TECHONOLOGIES,3900575.04
CANADIAN CORPS OF COMMISSIONAIRES,3751780.30
NORTHERN MICRO,3464897.61
PR3 MEDIAS,3308750.74
DELOITTE AND TOUCHE,3280189.55
XEROX,3109422.58
MICROSOFT CANADA,3108800.73
FLYING COLOURS INTERNATIONAL,2447293.07
GROUPE PHANEUF,2260000.00
SAMSON ASSOCIATES,2241927.70
KONICA MINOLTA,2085992.91
ID3 IDACES AU CUBE,2063516.25
1302015 ONTARIO,1934009.19
PROJECT X PRODUCTIONS,1912202.23
TOBERMORY PRESS,1908337.54
AKRAN MARKETING,1837339.73
BELL CANADA,1824071.60
EBSCO CANADA,1731670.21
ALTIS HUMAN RESOURCES,1702866.89
CALIAN,1671910.86
PRA,1608820.29
FOXRED CONSULTING,1581177.62
PICO CHICAGO,1570335.65
URTHGATE SYSTEMS,1533892.29
GARTNER,1498916.56
KPMG,1441691.96
RAYMOND CHABOT GRANT THORNTON,1380426.45
STATEL CAPITAL TECHNOLOGY PARTNERS,1362984.01
OPSIS GESTION DAINFRASTRUCTURES,1297462.38
DRAPEAUX ET BANNIERES LETENDARD,1282196.88
IRON HORSE SECURITY,1168530.57
COTTON CANDY MISSISSAUGA,1119248.08
CLOSEREACH,1043346.26
8906297 CANADA,1037481.25
SAP,1017244.25
DRAPEAUX ET BANNIERES LETENDARD IN,1014464.19
RIGAKU AMERICAS,982879.27
ORBIS CONSULTING,970376.75
ST JOSEPH PRINT GROUP,943208.43
DRAPEAUX ET BANNIARES LACTENDARD,940893.40
MISHKUMI TECHNOLOGIES,920200.05
LAFLEUR DE LA CAPITALE,892658.37
ASOKAN BUSINESS INTERIORS ASOKAN SOLUTIONS DE BUREAU,892473.02
CEDROM SNI,881042.07
ABSTRAKT STUDIO,874000.02
CANADA FBM 2020,827400.95
MARATHON WATCH COMPANY,815498.40
BROADWAY EXPORTERS IMPORTERS,808380.28
AVATAQ CULTURAL INSTITUTE,800000.00
BRUKER AXS,797284.68
FLAGTECH ARTISANS DU TEXTILES,770823.87
HILL STRATEGIES RESEARCH,769985.00
EMTEC INFRASTRUCTURE SERVICES,766415.50
WALL SOUND AND LIGHTING,739955.06
EAST COMMUNICATIONS,735000.00
GENESIS INTEGRATION,733886.53
OGILVY MONTRACAL,700035.00
ITEX,693906.47
ROYAL CANADIAN GEOGRAPHICAL SOCIETY,656699.00
LA PRESSE CANADIENNE,648762.60
NIELSEN MEDIA RESEARCH,648379.17
GOSS GILROY,645753.96
SI SYSTEMS,625158.67
COMPOSITION SAINTE FOY,608647.50
COPEM CONSULTING,591032.02
KELLY SEARS CONSULTING GROUP,586090.23
BUREAU OF SHANGHAI WORLD,572109.74
4165047 CANADA,568685.51
TEXTILE MUSEUM OF CANADA,564877.98
R E GILMORE INVESTMENTS,559410.15
IT NET CONSULTANTS,557376.75
MEDIAT MUSE,556938.90
THE FAIRMONT ROYAL YORK,550687.03
VERITAAQ TECHNOLOGY HOUSE,536176.38
WILLIAMS SCOTSMAN CANADA,535406.26
SOLOTECH,533994.35
SIMPLEX GRINNELL,530954.25
MANIFEST COMMUNICATIONS,517125.00
IMPACT AUDIO VISUEL,516816.88
SCYTHES,504717.33
OPTIMA COMMUNICATION,503211.58
HUBS1 INTERACTIVE,498959.03
DALIAN ENTERPRISES,492908.58
PRIME STRATEGIES,492839.10
SIGN SOURCE,492186.12
ERNST YOUNG,491775.96
ORACLE CANADA,491632.20
CBCI TELECOM,491568.28
ECONOME,486330.21
WILSON YOUNG ASSOCIATES,474792.85
LABELLE TENTS,459620.94
OPENTEXT,457431.73
PUBLIC POLICY FORUM,452000.00
MP BUILDING CLEANING SERVICES,449762.99
FLEISHMANHILLARD HIGHROAD,448687.85
BPM GOVERNMENT IM IT,448048.75
TEKNION,447776.58
SPEARHEAD MANAGEMENT CANADA,439612.32
TELECOM COMPUTER SERVICES,431739.76
LOWE MARTIN COMPANY,430647.01
ENDECA TECHNOLOGIES,424461.17
ID3 IDEES AU CUBE,420230.05
SYSTEMSCOPE,404755.80
INSTITUT CANADIEN DE RECHERCHE SUR LES MINORITACS LINGUISTIQUES ICRML,404353.79
MESSA COMPUTING,401622.88
NORDICITY GROUP,398986.43
CORADIX TECHNOLOGY CONSULTING,396627.13
CANADAS SPORTS HALL OF FAME,396528.78
MAXSYS ABORIGINAL SERVICES,393512.56
CHRISTIE DIGITAL SYSTEMS CANADA,392668.69
QMR,379875.34
EXECUTIVE PROMOTIONS,370496.56
MARCIL LAVALLAE,366074.83
THE HERJAVEC GROUP,359058.44
RENTRAK,357230.21
EMARKETER,353773.89
WORKPLACE SAFETY PREVENTION,343788.78
FEDERATION OF CANADIAN MUNICIPALITIES,339039.55
FERENCE WEICKER COMPANY,338190.00
MOTION PICTURE THEATRE ASSOCIATIONS OF CANADA,332800.00
MUSACE MCCORD HISTOIRE CANADIENNE,331982.72
CANADIAN MUSIC INDUSTRY DATABASE,331601.16
GROUPE CONSEIL BAASTEL LE,329992.91
WALL SOUND,328513.60
ROYAL BC MUSEUM,327190.50
ADVANCED CHIPPEWA TECHNOLOGIES,324206.62
FARREX FREIGHT SYSTEMS,323803.64
MEDIA Q,322891.49
INDUSTRIAL MEDIA,322600.82
LEAP TECHNOLOGIES,316951.06
MUSACE DES BEAUX ARTS DE MONTRACAL,314805.23
CANADIAN ICE CARVERS SOCIETY,314114.15
